eds_score,semantic_similarity,channel_fit,trust_score,business_value,compliance_sensitivity,fatigue_score,converted,revenue
0.8894,0.8508,0.9,0.94,0.76,0.05,0.08,1,44.63
0.8552,0.834,0.9,0.94,0.76,0.05,0.08,1,43.86
0.7822,0.7988,0.9,0.94,0.76,0.05,0.08,1,42.22
0.8552,0.834,0.9,0.94,0.76,0.05,0.08,1,43.86
0.8737,0.8444,0.9,0.94,0.68,0.03,0.08,1,33.48
0.7274,0.7732,0.9,0.94,0.68,0.03,0.08,1,30.98
0.8737,0.8444,0.9,0.94,0.68,0.03,0.08,1,33.48
0.8737,0.8444,0.9,0.94,0.68,0.03,0.08,1,33.48
0.7665,0.7924,0.9,0.94,0.68,0.03,0.08,1,31.65
0.9057,0.8604,0.86,0.94,0.84,0.03,0.08,1,39.51
0.9057,0.8604,0.86,0.94,0.84,0.03,0.08,1,39.51
0.9057,0.8604,0.86,0.94,0.84,0.03,0.08,1,39.51
0.9057,0.8604,0.86,0.94,0.84,0.03,0.08,1,39.51
0.9057,0.8604,0.86,0.94,0.84,0.03,0.08,1,39.51
0.677,0.7472,0.82,0.94,0.78,0.15,0.08,1,52.97
0.677,0.7472,0.82,0.94,0.78,0.15,0.08,1,52.97
0.677,0.7472,0.82,0.94,0.78,0.15,0.08,1,52.97
0.6528,0.742,0.74,0.94,0.76,0.05,0.08,1,37.98
0.6528,0.742,0.74,0.82,0.76,0.05,0.24,0,0.0
0.8737,0.8444,0.9,0.94,0.68,0.03,0.08,1,33.48
0.7274,0.7732,0.9,0.94,0.68,0.03,0.08,1,30.98
0.8737,0.8444,0.9,0.94,0.68,0.03,0.08,1,33.48
0.8737,0.8444,0.9,0.94,0.68,0.03,0.08,1,33.48
0.7665,0.7924,0.9,0.94,0.68,0.03,0.08,1,31.65
0.6695,0.6716,0.9,0.94,0.82,0.85,0.08,1,0.0
0.6369,0.6586,0.9,0.94,0.65,0.8,0.08,1,0.0
0.6369,0.6586,0.9,0.94,0.65,0.8,0.08,1,0.0
0.7086,0.6908,0.9,0.94,0.82,0.85,0.08,1,0.0
0.7086,0.6908,0.9,0.94,0.82,0.85,0.08,1,0.0
0.6695,0.6716,0.9,0.94,0.82,0.85,0.08,1,0.0
0.6369,0.6586,0.9,0.94,0.65,0.8,0.08,1,0.0
0.6369,0.6586,0.9,0.94,0.65,0.8,0.08,1,0.0
0.7086,0.6908,0.9,0.94,0.82,0.85,0.08,1,0.0
0.6369,0.6586,0.9,0.94,0.65,0.8,0.08,1,0.0
0.5824,0.6322,0.9,0.82,0.65,0.8,0.24,0,0.0
0.667,0.6972,0.82,0.82,0.78,0.15,0.24,0,0.0
0.5552,0.6358,0.52,0.36,0.55,0.75,0.54,0,0.0
0.5552,0.6358,0.52,0.82,0.55,0.75,0.24,0,0.0
0.5552,0.6358,0.52,0.36,0.55,0.75,0.54,0,0.0
0.6241,0.6586,0.74,0.94,0.65,0.8,0.08,1,0.0
0.6369,0.6586,0.9,0.48,0.65,0.8,0.3,0,0.0
0.6369,0.6586,0.9,0.48,0.65,0.8,0.3,0,0.0
0.6369,0.6586,0.9,0.94,0.65,0.8,0.08,1,0.0
0.6369,0.6586,0.9,0.94,0.65,0.8,0.08,1,0.0
0.7086,0.6908,0.9,0.94,0.82,0.85,0.08,1,0.0
0.7816,0.726,0.9,0.94,0.82,0.85,0.08,1,0.0
0.667,0.6972,0.82,0.82,0.78,0.15,0.24,0,0.0
0.5466,0.621,0.74,0.66,0.65,0.8,0.74,0,0.0
0.6337,0.6586,0.86,0.94,0.65,0.8,0.08,1,0.0
