scenario_text,domain,channel,intent,journey_stage,tapl_action,expected_candidate_id
"restaurant visitor wants support with booking issue",restaurant,chatbot,support,service,show,chatbot_booking_assist
"customer receives loyalty dining offer by email",restaurant,email,retention,retention,show,restaurant_reservation_assist
"diner may churn after bad restaurant experience",restaurant,email,retention,retention,soften,restaurant_reservation_assist
"customer looking at wine pairing and dinner menu",restaurant,web,purchase,purchase,show,restaurant_menu_recommendation
"visitor searches vegetarian restaurant dishes",restaurant,web,research,research,show,restaurant_menu_recommendation
"guest ready to order after viewing menu online",restaurant,web,purchase,purchase,show,restaurant_menu_recommendation
"restaurant customer browsing dessert menu at table",restaurant,web,purchase,purchase,show,restaurant_menu_recommendation
"unknown visitor checks cuisine menu before making reservation",restaurant,web,research,consideration,show,restaurant_menu_recommendation
"doctor reading obesity product information on healthcare website",healthcare,web,research,research,show,obesity_product_hcp_education
"hcp reviewing approved clinical education content",healthcare,web,research,research,show,hcp_education_content
"physician accessing healthcare website for diabetes education",healthcare,web,research,research,show,hcp_education_content
"healthcare professional reviewing obesity therapy information",healthcare,web,research,consideration,show,obesity_product_hcp_education
"doctor comparing clinical data for obesity treatment",healthcare,web,research,consideration,show,obesity_product_hcp_education
"hcp reads prescribing information and product education",healthcare,web,research,research,show,obesity_product_hcp_education
"medical visitor downloads clinical education paper",healthcare,web,research,research,show,hcp_education_content
"doctor searches diabetes clinical education materials",healthcare,web,research,research,show,hcp_education_content
"hcp wants approved obesity product education",healthcare,web,research,consideration,show,obesity_product_hcp_education
"healthcare professional reviewing therapy information on HCP site",healthcare,web,research,research,show,hcp_education_content
"patient support issue on healthcare product website",healthcare,web,support,service,soften,hcp_education_content
"visitor asks healthcare support question about product information",healthcare,chatbot,support,service,soften,chatbot_booking_assist
"doctor on wearable device receiving disease specific promotional message",healthcare,wearable,research,awareness,suppress,wearable_health_nudge
"patient wearable asks for wellness education reminder",healthcare,wearable,research,awareness,soften,wearable_health_nudge
"wearable notification contains sensitive healthcare content",healthcare,wearable,research,awareness,suppress,wearable_health_nudge
"hcp requests approved education by email",healthcare,email,research,research,show,hcp_education_content
"medical visitor opted out of personalization while reading therapy page",healthcare,web,research,research,generic_fallback,hcp_education_content
"healthcare visitor has no consent for personalized product content",healthcare,web,research,research,generic_fallback,hcp_education_content
"physician reviews clinical trial summary for diabetes",healthcare,web,research,research,show,hcp_education_content
"doctor looking for cardiology education resources",healthcare,web,research,research,show,hcp_education_content
"hcp compares obesity therapy options before follow up",healthcare,web,research,consideration,show,obesity_product_hcp_education
"medical professional ready to request product education follow up",healthcare,web,purchase,consideration,show,obesity_product_hcp_education
"healthcare user asks service question about education access",healthcare,chatbot,support,service,soften,chatbot_booking_assist
"doctor receives repeated healthcare offer after high fatigue",healthcare,email,retention,retention,delay,hcp_education_content
"hcp on mobile opens approved product education page",healthcare,mobile,research,research,show,hcp_education_content
