eds_score,semantic_similarity,channel_fit,trust_score,outcome_score,business_value,compliance_sensitivity,selected
0.8038,0.8268,0.9,0.94,0.7892,0.84,0.05,1
0.911,0.8788,0.9,0.94,0.8329,0.84,0.05,1
0.911,0.8788,0.9,0.94,0.8329,0.84,0.05,1
0.6656,0.766,0.74,0.94,0.7037,0.8,0.05,1
0.6656,0.766,0.74,0.82,0.5214,0.8,0.05,1
0.7527,0.8036,0.86,0.94,0.7575,0.8,0.05,1
0.8476,0.848,0.82,0.94,0.7791,0.78,0.15,1
0.7559,0.8036,0.9,0.94,0.7649,0.8,0.05,1
0.911,0.8788,0.9,0.94,0.8329,0.84,0.05,1
0.8038,0.8268,0.9,0.94,0.7892,0.84,0.05,1
0.8552,0.834,0.9,0.94,0.7974,0.76,0.05,1
0.8894,0.8508,0.9,0.94,0.8114,0.76,0.05,1
0.8552,0.834,0.9,0.94,0.7974,0.76,0.05,1
0.7822,0.7988,0.9,0.94,0.7677,0.76,0.05,1
0.8552,0.834,0.9,0.94,0.7974,0.76,0.05,1
0.8737,0.8444,0.9,0.94,0.7972,0.68,0.03,1
0.7274,0.7732,0.9,0.94,0.7375,0.68,0.03,1
0.8737,0.8444,0.9,0.94,0.7972,0.68,0.03,1
0.8737,0.8444,0.9,0.94,0.7972,0.68,0.03,1
0.7665,0.7924,0.9,0.94,0.7535,0.68,0.03,1
0.8793,0.8484,0.86,0.94,0.7981,0.72,0.03,1
0.8793,0.8484,0.86,0.94,0.7981,0.72,0.03,1
0.8793,0.8484,0.86,0.94,0.7981,0.72,0.03,1
0.8793,0.8484,0.86,0.94,0.7981,0.72,0.03,1
0.8793,0.8484,0.86,0.94,0.7981,0.72,0.03,1
0.677,0.7472,0.82,0.94,0.7063,0.78,0.15,1
0.677,0.7472,0.82,0.94,0.7063,0.78,0.15,1
0.677,0.7472,0.82,0.94,0.7063,0.78,0.15,1
0.6528,0.742,0.74,0.94,0.6905,0.76,0.05,1
0.6528,0.742,0.74,0.82,0.5111,0.76,0.05,1
0.8737,0.8444,0.9,0.94,0.7972,0.68,0.03,1
0.7274,0.7732,0.9,0.94,0.7375,0.68,0.03,1
0.8737,0.8444,0.9,0.94,0.7972,0.68,0.03,1
0.8737,0.8444,0.9,0.94,0.7972,0.68,0.03,1
0.7665,0.7924,0.9,0.94,0.7535,0.68,0.03,1
0.6695,0.6716,0.9,0.94,0.6519,0.82,0.85,1
0.6369,0.6586,0.9,0.94,0.6228,0.65,0.8,1
0.6369,0.6586,0.9,0.94,0.6228,0.65,0.8,1
0.7086,0.6908,0.9,0.94,0.6679,0.82,0.85,1
0.7086,0.6908,0.9,0.94,0.6679,0.82,0.85,1
0.6695,0.6716,0.9,0.94,0.6519,0.82,0.85,1
0.6369,0.6586,0.9,0.94,0.6228,0.65,0.8,1
0.6369,0.6586,0.9,0.94,0.6228,0.65,0.8,1
0.7086,0.6908,0.9,0.94,0.6679,0.82,0.85,1
0.6369,0.6586,0.9,0.94,0.6228,0.65,0.8,1
0.5824,0.6322,0.9,0.82,0.441,0.65,0.8,1
0.667,0.6972,0.82,0.82,0.5139,0.78,0.15,1
0.5552,0.6358,0.52,0.36,0.0462,0.55,0.75,0
0.5552,0.6358,0.52,0.82,0.381,0.55,0.75,1
0.5552,0.6358,0.52,0.36,0.0462,0.55,0.75,0
0.6241,0.6586,0.74,0.94,0.5931,0.65,0.8,1
0.6369,0.6586,0.9,0.48,0.0949,0.65,0.8,0
0.6369,0.6586,0.9,0.48,0.0949,0.65,0.8,0
0.6369,0.6586,0.9,0.94,0.6228,0.65,0.8,1
0.6369,0.6586,0.9,0.94,0.6228,0.65,0.8,1
0.7086,0.6908,0.9,0.94,0.6679,0.82,0.85,1
0.7816,0.726,0.9,0.94,0.6976,0.82,0.85,1
0.667,0.6972,0.82,0.82,0.5139,0.78,0.15,1
0.5466,0.621,0.74,0.66,0.1983,0.65,0.8,0
0.6337,0.6586,0.86,0.94,0.6153,0.65,0.8,1
